username,course_id,date,nevents,nprogcheck,nshow_answer,nvideo,nproblem_check,nforum,ntranscript,nseq_goto,nseek_video,npause_video,nvideos_viewed,nvideos_watched_sec,nforum_reads,nforum_posts,nforum_threads,nproblems_answered,nproblems_attempted,nproblems_multiplechoice,nproblems_choice,nproblems_numerical,nproblems_option,nproblems_custom,nproblems_string,nproblems_mixed,nproblems_forumula,nproblems_other,first_event,last_event,avg_dt,sdv_dt,max_dt,n_dt,sum_dt
i68dtx9, MITx/8.01r_3/2016_Fall,2016-08-24,51,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-08-24 15:23:13.849988 UTC,2016-08-24 20:55:18.720088 UTC,24.781019955555557,65.3905606798033,291.529928,45,1115.145898
5adpp4h, MITx/8.01r_3/2016_Fall,2016-09-03,62,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 17:20:37.491753 UTC,2016-09-03 23:53:03.492798 UTC,9.610389116666669,16.44038099493469,93.360312,60,576.6233470000002
fln1zpr, MITx/8.01r_3/2016_Fall,2016-09-03,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 17:24:16.339007 UTC,2016-09-03 17:24:16.339007 UTC,,,,0,
0icp128, MITx/8.01r_3/2016_Fall,2016-09-03,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 17:04:47.728856 UTC,2016-09-03 17:05:33.589187 UTC,22.9301655,27.885619293471326,42.648276,2,45.860331
2vmch5z, MITx/8.01r_3/2016_Fall,2016-09-03,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 20:37:19.42653 UTC,2016-09-03 20:38:45.406139 UTC,85.979609,,85.979609,1,85.979609
fbnfms1, MITx/8.01r_3/2016_Fall,2016-09-03,5,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 19:00:40.339097 UTC,2016-09-03 19:04:59.413015 UTC,64.7684795,116.08157355932613,238.51494900000003,4,259.073918
6cwpeff, MITx/8.01r_3/2016_Fall,2016-09-03,6,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 17:40:18.233833 UTC,2016-09-03 17:56:21.133652 UTC,85.303037,92.14917174674065,222.098715,4,341.212148
7wodtcz, MITx/8.01r_3/2016_Fall,2016-09-03,4,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 18:16:42.38025 UTC,2016-09-03 18:30:40.820321 UTC,84.18589449999999,106.68876682727993,159.62624499999998,2,168.37178899999998
90o1r4t, MITx/8.01r_3/2016_Fall,2016-09-03,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 11:18:27.16144 UTC,2016-09-03 11:18:28.97987 UTC,1.81843,,1.81843,1,1.81843
1fvdmne, MITx/8.01r_3/2016_Fall,2016-09-03,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-03 20:53:52.067654 UTC,2016-09-03 20:55:09.522715 UTC,77.455061,,77.455061,1,77.455061
2vmch5z, MITx/8.01r_3/2016_Fall,2016-09-04,38,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 14:13:37.765642 UTC,2016-09-04 17:12:31.32051 UTC,19.06901408571429,50.35586817652546,216.13156099999998,35,667.415493
0icp128, MITx/8.01r_3/2016_Fall,2016-09-04,43,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 20:09:45.501605 UTC,2016-09-04 20:11:32.375608 UTC,2.5446191190476197,5.526950449605731,31.745247999999997,42,106.874003
w5s12gm, MITx/8.01r_3/2016_Fall,2016-09-04,108,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 01:47:36.142223 UTC,2016-09-04 21:35:08.63413 UTC,9.153860592233007,40.536755328900405,268.449455,103,942.8476409999998
0beasht, MITx/8.01r_3/2016_Fall,2016-09-04,13,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 22:56:42.752672 UTC,2016-09-04 23:18:57.573591 UTC,60.92414581818182,98.14740643090148,257.614779,11,670.165604
3v6bnnh, MITx/8.01r_3/2016_Fall,2016-09-04,183,0,3,0,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 18:14:37.760646 UTC,2016-09-04 23:49:54.796784 UTC,14.44683272159091,39.80782784930073,299.056498,176,2542.642559000001
5adpp4h, MITx/8.01r_3/2016_Fall,2016-09-04,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 23:42:04.028133 UTC,2016-09-04 23:42:04.524809 UTC,0.496676,,0.496676,1,0.496676
533gfeo, MITx/8.01r_3/2016_Fall,2016-09-04,20,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 12:06:55.338537 UTC,2016-09-04 12:08:15.121144 UTC,4.199084578947368,5.493964007419025,20.362525,19,79.78260699999998
psdb3zn, MITx/8.01r_3/2016_Fall,2016-09-04,10,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 22:26:44.599083 UTC,2016-09-04 22:39:55.219027 UTC,8.546911625,17.773982877436527,52.424781,8,68.375293
12jo3yw, MITx/8.01r_3/2016_Fall,2016-09-04,7,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-04 19:11:44.124172 UTC,2016-09-04 19:12:11.399081 UTC,4.545818166666666,5.019162404782233,12.567715,6,27.274909
2vmch5z, MITx/8.01r_3/2016_Fall,2016-09-05,13,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-05 19:48:09.325918 UTC,2016-09-05 22:54:02.832364 UTC,1.7395971000000001,1.7924431491943833,6.158338,10,17.395971
w5s12gm, MITx/8.01r_3/2016_Fall,2016-09-05,21,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-05 23:00:13.253484 UTC,2016-09-05 23:18:57.37714 UTC,16.268500333333336,35.29491217806996,109.75186000000001,18,292.833006
0beasht, MITx/8.01r_3/2016_Fall,2016-09-05,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-05 02:11:17.883356 UTC,2016-09-05 02:11:17.883356 UTC,,,,0,
2q30g28, MITx/8.01r_3/2016_Fall,2016-09-05,30,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-05 03:36:11.595983 UTC,2016-09-05 03:55:15.333544 UTC,19.346260642857136,26.60426306255692,107.398785,28,541.695298
47aruk2, MITx/8.01r_3/2016_Fall,2016-09-05,103,0,3,0,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-05 16:22:28.871493 UTC,2016-09-05 23:38:40.185342 UTC,10.519978818181816,32.39100286668183,247.28878500000002,99,1041.477903
psdb3zn, MITx/8.01r_3/2016_Fall,2016-09-05,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-05 15:39:29.299552 UTC,2016-09-05 15:39:32.981692 UTC,3.68214,,3.68214,1,3.68214
4nv45bt, MITx/8.01r_3/2016_Fall,2016-09-05,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-05 14:01:35.420116 UTC,2016-09-05 14:01:35.420116 UTC,,,,0,
stzocp0, MITx/8.01r_3/2016_Fall,2016-09-06,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 15:17:01.115616 UTC,2016-09-06 15:17:07.616133 UTC,6.500516999999999,,6.500516999999999,1,6.500516999999999
8v6ey4g, MITx/8.01r_3/2016_Fall,2016-09-06,175,3,0,0,0,0,0,16,0,0,0,0.0,0,0,0,23,145,0,0,0,0,3,0,0,0,0,2016-09-06 17:31:29.528029 UTC,2016-09-06 23:54:07.036299 UTC,8.02563739880952,24.6572677177715,210.07345299999997,168,1348.3070829999995
ltmrbfs, MITx/8.01r_3/2016_Fall,2016-09-06,111,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 15:35:30.631524 UTC,2016-09-06 19:33:33.460079 UTC,9.03536326168224,20.366991674471556,134.25888799999998,107,966.7838689999996
90o1r4t, MITx/8.01r_3/2016_Fall,2016-09-06,121,1,0,4,41,0,0,10,1,1,3,77.54467278392637,0,0,0,25,98,0,0,0,0,5,0,0,0,0,2016-09-06 00:00:00 UTC,2016-09-06 23:58:35.892129 UTC,23.998095260504197,56.95190258963671,282.691594,119,2855.7733359999993
cyxgkj9, MITx/8.01r_3/2016_Fall,2016-09-06,29,0,1,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 14:55:57.699907 UTC,2016-09-06 15:11:34.280167 UTC,8.956923814814816,27.559637241060532,139.771061,27,241.83694300000005
2q30g28, MITx/8.01r_3/2016_Fall,2016-09-06,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 19:31:56.489532 UTC,2016-09-06 19:31:56.489532 UTC,,,,0,
0icp128, MITx/8.01r_3/2016_Fall,2016-09-06,65,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 17:28:29.792523 UTC,2016-09-06 17:42:12.135792 UTC,12.849113578125,35.12599458715673,242.17764,64,822.343269
4nv45bt, MITx/8.01r_3/2016_Fall,2016-09-06,4,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 06:21:41.081941 UTC,2016-09-06 06:21:48.161031 UTC,2.3596966666666668,1.3321889778707572,3.137368,3,7.079089999999999
7qj0ukr, MITx/8.01r_3/2016_Fall,2016-09-06,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 22:37:44.668742 UTC,2016-09-06 22:37:46.181452 UTC,1.51271,,1.51271,1,1.51271
gslxkj3, MITx/8.01r_3/2016_Fall,2016-09-06,23,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 04:13:45.397914 UTC,2016-09-06 04:20:32.998336 UTC,18.527291909090906,47.92811811687886,205.920416,22,407.60042200000004
w5s12gm, MITx/8.01r_3/2016_Fall,2016-09-06,7,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 14:53:08.127079 UTC,2016-09-06 14:53:18.937756 UTC,1.8017795,2.307403912393125,6.407693,6,10.810676999999998
ybgypw9, MITx/8.01r_3/2016_Fall,2016-09-06,9,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 22:36:27.405294 UTC,2016-09-06 22:46:19.571906 UTC,8.067272999999998,10.827318320507667,31.861621000000003,7,56.470911
3fcfth5, MITx/8.01r_3/2016_Fall,2016-09-06,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 20:05:04.248089 UTC,2016-09-06 20:05:04.248089 UTC,,,,0,
4okjrc1, MITx/8.01r_3/2016_Fall,2016-09-06,26,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 07:25:06.091155 UTC,2016-09-06 17:23:18.623226 UTC,15.950081041666662,39.541171856251076,172.0321,24,382.80194499999993
5sdzsxk, MITx/8.01r_3/2016_Fall,2016-09-06,57,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 18:31:23.380804 UTC,2016-09-06 22:08:08.612553 UTC,6.831944000000001,18.60881804395988,109.99766299999999,54,368.9249760000001
5adpp4h, MITx/8.01r_3/2016_Fall,2016-09-06,31,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 01:56:27.466481 UTC,2016-09-06 02:06:23.501658 UTC,2.0357455517241374,3.4637964005429134,13.372614000000002,29,59.036621
0beasht, MITx/8.01r_3/2016_Fall,2016-09-06,50,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-06 14:09:45.598539 UTC,2016-09-06 16:18:24.76731 UTC,12.696617863636366,36.81367171909093,229.113678,44,558.651186
gslxkj3, MITx/8.01r_3/2016_Fall,2016-09-07,194,0,3,7,24,0,0,15,0,5,5,260.8194724902611,0,0,0,25,81,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 21:38:38.60985 UTC,10.923689315789472,25.493050788992015,175.184678,190,2075.50097
kyohi4j, MITx/8.01r_3/2016_Fall,2016-09-07,76,0,1,6,24,0,0,3,5,1,1,37.308569849319454,0,0,0,20,49,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 20:43:13.2839 UTC,14.987863851351351,36.888000204931046,188.698616,74,1109.1019250000004
ltmrbfs, MITx/8.01r_3/2016_Fall,2016-09-07,85,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,25,112,0,0,0,0,5,0,0,0,0,2016-09-07 02:29:55.766819 UTC,2016-09-07 20:18:42.424059 UTC,8.56795455,12.59549731993384,69.305627,80,685.4363639999998
vn1nr7u, MITx/8.01r_3/2016_Fall,2016-09-07,249,0,13,18,50,0,0,13,8,8,5,261.0405473061295,0,0,0,20,59,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 23:24:14.944675 UTC,14.344195242677822,38.441861426163356,272.430745,239,3428.2626629999995
90o1r4t, MITx/8.01r_3/2016_Fall,2016-09-07,218,4,1,0,46,0,0,16,0,0,0,0.0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,2016-09-07 00:00:33.515689 UTC,2016-09-07 17:49:17.278069 UTC,10.67715891981132,29.120808612214688,258.009551,212,2263.5576909999995
dmrpnls, MITx/8.01r_3/2016_Fall,2016-09-07,7,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 03:29:33.359572 UTC,2016-09-07 03:30:14.448334 UTC,6.848127000000001,5.333784981685107,13.349673999999998,6,41.088762
7wodtcz, MITx/8.01r_3/2016_Fall,2016-09-07,191,0,5,11,51,0,0,0,0,5,5,261.4866510886917,0,0,0,20,46,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 21:58:31.723825 UTC,17.937464956989256,39.51921055223495,258.535521,186,3336.368482000001
stzocp0, MITx/8.01r_3/2016_Fall,2016-09-07,141,0,4,0,33,0,0,12,0,0,0,0.0,0,0,0,23,54,0,0,0,0,5,0,0,0,0,2016-09-07 17:13:35.883883 UTC,2016-09-07 23:01:18.622037 UTC,12.773629291970805,27.417273251043323,169.788928,137,1749.9872130000006
fbnfms1, MITx/8.01r_3/2016_Fall,2016-09-07,43,1,0,0,0,0,0,2,0,0,0,0.0,0,0,0,12,92,0,0,0,0,3,0,0,0,0,2016-09-07 18:06:08.410228 UTC,2016-09-07 18:48:04.903582 UTC,9.218383975609758,26.204981983667285,153.243966,41,377.95374300000003
svoh6vq, MITx/8.01r_3/2016_Fall,2016-09-07,33,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 15:17:39.443227 UTC,2016-09-07 18:14:56.388554 UTC,27.498354299999995,55.2800971569005,248.631704,30,824.9506289999998
gxwcv9x, MITx/8.01r_3/2016_Fall,2016-09-07,31,0,0,0,6,0,0,5,0,0,0,0.0,0,0,0,20,37,0,0,0,0,5,0,0,0,0,2016-09-07 13:32:55.667592 UTC,2016-09-07 19:39:52.899125 UTC,14.195612535714288,31.425037234773693,150.168553,28,397.47715100000005
7oth4p4, MITx/8.01r_3/2016_Fall,2016-09-07,85,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 17:16:14.027594 UTC,2016-09-07 20:48:10.10341 UTC,12.303472592592593,42.2150176255624,252.139496,81,996.5812800000001
scc6vb0, MITx/8.01r_3/2016_Fall,2016-09-07,50,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,20,79,0,0,0,0,5,0,0,0,0,2016-09-07 02:21:15.900251 UTC,2016-09-07 13:57:13.335686 UTC,9.01117346808511,20.743889540394086,135.447282,47,423.52515300000016
hd3gfdn, MITx/8.01r_3/2016_Fall,2016-09-07,15,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 18:14:24.174742 UTC,2016-09-07 18:16:13.801203 UTC,7.8304615,17.93449425818706,69.746121,14,109.626461
psdb3zn, MITx/8.01r_3/2016_Fall,2016-09-07,91,3,4,0,8,0,0,0,0,0,0,0.0,0,0,0,25,65,0,0,0,0,5,0,0,0,0,2016-09-07 21:15:40.963535 UTC,2016-09-07 23:07:38.668457 UTC,13.255307662790694,32.249642901987976,211.28651200000002,86,1139.956459
5luzoc6, MITx/8.01r_3/2016_Fall,2016-09-07,48,1,0,0,0,0,0,9,0,0,0,0.0,0,0,0,22,52,0,0,0,0,5,0,0,0,0,2016-09-07 13:15:10.584178 UTC,2016-09-07 22:16:26.132533 UTC,10.610998184210526,22.87568609511581,117.08698999999999,38,403.217931
x9sqpre, MITx/8.01r_3/2016_Fall,2016-09-07,25,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,25,83,0,0,0,0,5,0,0,0,0,2016-09-07 17:14:47.788187 UTC,2016-09-07 17:38:05.442851 UTC,24.387512318181823,55.99962160839749,235.630054,22,536.5252710000001
6cwpeff, MITx/8.01r_3/2016_Fall,2016-09-07,429,1,2,1,59,0,0,19,0,1,1,24.71068792370605,0,0,0,25,75,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 23:58:39.1838 UTC,8.78430777251185,22.707534354039,241.49820899999997,422,3706.9778800000013
psgxuej, MITx/8.01r_3/2016_Fall,2016-09-07,329,0,11,20,43,0,0,46,31,10,5,133.67693264854955,0,0,0,24,118,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 21:11:08.53001 UTC,10.582597319875779,30.209261376720352,299.60792799999996,322,3407.5963370000013
z4f17wo, MITx/8.01r_3/2016_Fall,2016-09-07,54,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 13:52:56.271564 UTC,2016-09-07 15:22:05.748184 UTC,6.310945730769233,19.343901207250852,119.663716,52,328.1691780000001
d3upe85, MITx/8.01r_3/2016_Fall,2016-09-07,546,2,2,13,202,0,0,89,6,4,6,154.78681452642823,0,0,0,25,112,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 23:56:56.000549 UTC,19.388841988571443,43.62239099590556,287.974368,525,10179.142044000004
u5gdccb, MITx/8.01r_3/2016_Fall,2016-09-07,26,0,0,0,0,0,0,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 18:37:00.846255 UTC,2016-09-07 19:05:28.343976 UTC,6.248855608695652,12.846151786250017,62.351989,23,143.723679
h2z4fai, MITx/8.01r_3/2016_Fall,2016-09-07,17,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 13:35:14.57271 UTC,2016-09-07 13:35:50.449594 UTC,2.24230525,1.9093057171777916,5.729403,16,35.876884000000004
w5s12gm, MITx/8.01r_3/2016_Fall,2016-09-07,232,0,2,15,27,0,0,7,9,4,5,243.80616496757503,0,0,0,24,55,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 22:58:19.660886 UTC,18.618616090497746,41.7086841480051,243.619613,221,4114.714156000001
hmegb3c, MITx/8.01r_3/2016_Fall,2016-09-07,183,0,3,1,54,0,0,16,0,0,1,0.003000020980834961,0,0,0,20,53,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 23:52:29.655831 UTC,14.786116850574714,44.22252947368485,291.04069599999997,174,2572.784332
296j5cx, MITx/8.01r_3/2016_Fall,2016-09-07,114,0,1,5,14,0,0,4,6,3,3,59.89410665979871,0,0,0,24,101,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 23:57:14.893375 UTC,8.661451772727274,15.014614439286142,81.288606,110,952.7596950000002
7xhxh4u, MITx/8.01r_3/2016_Fall,2016-09-07,9,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 03:04:36.353369 UTC,2016-09-07 13:20:56.517827 UTC,4.894389,8.328803437745465,23.481525,7,34.260723
65s4z7e, MITx/8.01r_3/2016_Fall,2016-09-07,209,0,0,0,93,0,0,26,0,0,0,0.0,0,0,0,20,44,0,0,0,0,5,0,0,0,0,2016-09-07 17:14:33.688451 UTC,2016-09-07 23:58:00.507168 UTC,17.430948241379298,40.24763150669831,250.16523199999997,203,3538.482492999997
rf1gqm9, MITx/8.01r_3/2016_Fall,2016-09-07,51,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 13:16:23.365006 UTC,2016-09-07 22:23:32.272697 UTC,12.864213021739127,33.17523065430812,176.204195,46,591.7537989999998
y58iol5, MITx/8.01r_3/2016_Fall,2016-09-07,47,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,20,62,0,0,0,0,5,0,0,0,0,2016-09-07 16:00:43.268603 UTC,2016-09-07 21:27:35.004356 UTC,10.438217813953488,28.75524195188795,137.27671999999998,43,448.843366
3fcfth5, MITx/8.01r_3/2016_Fall,2016-09-07,11,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 16:07:24.150922 UTC,2016-09-07 20:14:01.596156 UTC,4.254327444444445,6.599319253992323,19.770738,9,38.288947
etj0kup, MITx/8.01r_3/2016_Fall,2016-09-07,31,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,20,46,0,0,0,0,5,0,0,0,0,2016-09-07 17:17:56.603677 UTC,2016-09-07 17:38:22.608664 UTC,9.45073614285714,17.92781070563487,91.891235,28,264.62061199999994
8v6ey4g, MITx/8.01r_3/2016_Fall,2016-09-07,5,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 12:35:13.429625 UTC,2016-09-07 19:59:47.404833 UTC,0.6906874999999999,0.0874599164446205,0.7525310000000001,2,1.3813749999999998
7r3etx7, MITx/8.01r_3/2016_Fall,2016-09-07,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 19:40:21.896874 UTC,2016-09-07 19:41:19.532146 UTC,57.635272,,57.635272,1,57.635272
ae8s777, MITx/8.01r_3/2016_Fall,2016-09-07,61,0,0,0,0,0,0,8,0,0,0,0.0,0,0,0,5,44,0,0,0,0,0,0,0,0,0,2016-09-07 19:02:25.728266 UTC,2016-09-07 21:48:09.832287 UTC,26.22748940350877,49.1220079076841,215.05966600000002,57,1494.966896
mco4i2q, MITx/8.01r_3/2016_Fall,2016-09-07,52,0,1,0,18,0,0,0,0,0,0,0.0,0,0,0,20,76,0,0,0,0,5,0,0,0,0,2016-09-07 21:11:53.783807 UTC,2016-09-07 21:41:33.060371 UTC,19.80234328571428,51.68066056903954,279.15889500000003,49,970.3148209999997
5adpp4h, MITx/8.01r_3/2016_Fall,2016-09-07,61,1,0,0,0,0,0,3,0,0,0,0.0,0,0,0,25,94,0,0,0,0,5,0,0,0,0,2016-09-07 15:47:21.855527 UTC,2016-09-07 19:17:12.890898 UTC,11.177770087719297,21.947161670259643,123.878854,57,637.132895
2vmch5z, MITx/8.01r_3/2016_Fall,2016-09-07,396,0,5,9,140,0,0,26,0,5,4,276.1308848722076,0,0,0,25,89,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 22:55:10.340738 UTC,11.785438898963733,33.152385467166745,283.850884,386,4549.179415000001
b98y0ff, MITx/8.01r_3/2016_Fall,2016-09-07,138,0,0,2,46,0,0,20,0,2,1,93.43260895040892,0,0,0,24,144,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 23:57:14.520876 UTC,16.327887068181816,39.889300375047924,226.48190099999997,132,2155.281093
4nv45bt, MITx/8.01r_3/2016_Fall,2016-09-07,73,0,1,3,4,0,0,3,1,2,2,68.04215192370606,0,0,0,25,106,0,0,0,0,5,0,0,0,0,2016-09-07 00:00:00 UTC,2016-09-07 23:33:40.984396 UTC,6.223846999999998,16.921069636071387,126.839509,71,441.8931369999999
jnwe2gg, MITx/8.01r_3/2016_Fall,2016-09-07,111,0,1,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-07 17:33:27.814676 UTC,2016-09-07 18:28:35.584493 UTC,12.21109856074766,34.49494818271361,247.705784,107,1306.5875459999995
